pouch_snail	gilled_snail	orb_snail 	limpet	pill_fingernail_clam	water_snipe_fly_larva	horsefly_larva	cranefly_larva	leech	flatworm	midge_larva	nematode	cyclops	seedandclam_shrimp	water_flea	crayfish	amphipod	isopod_aquSowbug	watermite	fishing_spider	riffle_beetle	water_scavenger_beetle	predaceous_diving_beetle	crawling_water_beetle	rifflebeetle_larva	caddisfly_larva	caddisfly_larva_stone	stonefly_larva	mayfly_larva	damselfly_larva	pupa	annelids	fly_larva	insect	Bristleworm	Alderfly_larva	Dragonfly_larva	Rat_tailed_mag_larva
0	6	3	0	0	0	0	0	0	0	56	0	0	0	0	5	331	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0
0	6	0	0	0	0	0	0	0	0	8	0	0	0	0	3	316	0	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	0	0	0	0
2	5	1	0	0	2	0	0	0	0	14	0	0	0	0	6	311	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	3	299	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0
11	1	22	22	22	0	2	0	2	2	0	1	0	0	0	0	47	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0
6	32	17	0	25	0	0	0	0	2	1	6	0	0	0	0	77	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
1	5	2	0	1	0	0	0	0	0	1	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	1	0	0	14	0	0	0	0	0	309	0	0	0	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0
2	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	11	3	0	0	0	0	11	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	8	0	5	0	0	0	0	0	0	0	0	0	0	0	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	0	1	0	0	0	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	102	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
6	6	10	0	5	0	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	0	20	0	0	0	0	16	0	3	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1	1	0	0	1	0	0	0	0	0	5	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
6	12	2	10	0	0	0	0	0	10	0	1	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	5	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	184	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	75	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	106	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	2	1	1	0	0	0	1	50	1	0	0	0	0	0	93	5	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1
3	19	1	0	0	0	0	0	0	38	1	0	0	0	0	0	67	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
2	8	1	0	0	0	0	0	0	31	3	0	0	1	7	0	37	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	147	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	1	1	0	0	0	2	4	0	1	0	1	0	229	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	16	1	0	1	0	0	0	138	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0	0	3	0	0	0	0	0	0	0	4	0	1	0	0	0	338	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	1	3	1	0	2	0	0	0	0	0	0	0	0	0	0	384	1	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0
1	0	5	0	0	4	0	0	0	1	9	0	0	5	0	0	430	1	4	0	0	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	0	0
0	2	2	7	0	0	0	0	0	0	1	0	0	0	0	0	327	0	1	0	0	0	0	0	4	0	0	0	0	0	0	13	0	0	0	0	0	0
0	1	3	3	0	1	0	0	0	0	2	0	0	1	0	0	313	0	7	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0
